"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"APOBEC3G",4.59993947103721e-151,2.28482487336648,0.389,0.204,9.57109405738713e-147,"Low","APOBEC3G"
"CCSER2",1.31634930503646e-150,2.56488225322263,0.354,0.16,2.73892799898937e-146,"Low","CCSER2"
"RPS5",5.4551716683912e-150,0.460955628072088,0.948,0.887,1.13505756904216e-145,"Low","RPS5"
"FAU",1.43489939367033e-149,0.404611694493307,0.988,0.921,2.98559516840985e-145,"Low","FAU"
"SLA",5.99156182326226e-149,2.0024038952341,0.385,0.188,1.24666426856618e-144,"Low","SLA"
"TNFSF14",1.12308505814221e-148,3.0712800738489,0.273,0.07,2.33680308047649e-144,"Low","TNFSF14"
"RAB8B",1.69995483948767e-147,1.7189177893159,0.455,0.29,3.537096034522e-143,"Low","RAB8B"
"NCR3",1.03659230839338e-146,3.47148125398565,0.256,0.058,2.15683761607411e-142,"Low","NCR3"
"VAMP2",1.20917127995919e-146,1.35241574651997,0.565,0.467,2.51592268221109e-142,"Low","VAMP2"
"ACTG1",1.02836990764434e-143,0.474023238788056,0.958,0.841,2.13972926683558e-139,"Low","ACTG1"
"PPP1R15A",1.81925479939806e-143,0.599256499350978,0.926,0.788,3.78532346110755e-139,"Low","PPP1R15A"
"IRF1",2.42519805804765e-142,0.453112435675092,0.899,0.726,5.04610959937974e-138,"Low","IRF1"
"YWHAZ",2.46248291379574e-142,0.749063501986293,0.797,0.702,5.12368819873479e-138,"Low","YWHAZ"
"PDIA3",4.14656562035793e-139,0.873366125004241,0.674,0.636,8.62775908627874e-135,"Low","PDIA3"
"S1PR5",7.93110747051009e-139,3.232886983618,0.257,0.065,1.65022553138903e-134,"Low","S1PR5"
"XIST",8.55761043156558e-138,1.98568286134468,0.283,0.076,1.78058200249585e-133,"Low","XIST"
"SET",1.1560523935319e-137,1.06454374453911,0.611,0.548,2.40539821522183e-133,"Low","SET"
"EEF1D",5.31363935223472e-137,0.462731351428097,0.918,0.878,1.10560894001948e-132,"Low","EEF1D"
"RPL12",1.28675499798318e-135,0.405680354121676,0.986,0.929,2.67735112430359e-131,"Low","RPL12"
"RPL9",6.01444703043184e-135,0.429064282982977,0.972,0.899,1.25142599362195e-130,"Low","RPL9"
