"","Hugo_Symbol","High","Low","pval","or","ci.up","ci.low","adjPval"
"459","GLI2",4,9,0.758134467890001,1.17672017012308,4.34132096734652,0.2585614315495,1
"460","HECTD4",4,9,0.758134467890001,1.17672017012308,4.34132096734652,0.2585614315495,1
"461","KIF26B",4,9,0.758134467890001,1.17672017012308,4.34132096734652,0.2585614315495,1
"462","NPAP1",4,9,0.758134467890001,1.17672017012308,4.34132096734652,0.2585614315495,1
"463","RP1",4,9,0.758134467890001,1.17672017012308,4.34132096734652,0.2585614315495,1
"464","SPTBN1",4,9,0.758134467890001,1.17672017012308,4.34132096734652,0.2585614315495,1
"465","SYNE2",4,9,0.758134467890001,1.17672017012308,4.34132096734652,0.2585614315495,1
"466","DNAH2",3,11,0.765538514791327,0.709695691704283,2.76674904617489,0.124449672457442,1
"467","LRRIQ1",3,11,0.765538514791327,0.709695691704283,2.76674904617489,0.124449672457442,1
"468","PXDNL",3,11,0.765538514791327,0.709695691704283,2.76674904617489,0.124449672457442,1
"469","ABCA12",3,12,0.76815610713018,0.648074067790705,2.47481976809718,0.114879368966956,1
"470","DNAH9",3,12,0.76815610713018,0.648074067790705,2.47481976809718,0.114879368966956,1
"471","COL6A6",5,11,0.776088205126703,1.20653258172115,3.8919812388036,0.319839896638344,1
"472","FAT4",5,11,0.776088205126703,1.20653258172115,3.8919812388036,0.319839896638344,1
"473","FBN2",5,11,0.776088205126703,1.20653258172115,3.8919812388036,0.319839896638344,1
"474","FRAS1",5,11,0.776088205126703,1.20653258172115,3.8919812388036,0.319839896638344,1
"475","DNAH8",5,12,0.788144994081419,1.10183697745714,3.47451054234492,0.295847152263103,1
"476","MUC17",5,12,0.788144994081419,1.10183697745714,3.47451054234492,0.295847152263103,1
"477","MUC5B",5,12,0.788144994081419,1.10183697745714,3.47451054234492,0.295847152263103,1
"478","AHNAK2",4,14,0.788519958693665,0.742251981387027,2.44348840806133,0.173485790919752,1
"479","FASN",6,13,0.791961201969359,1.22840075279827,3.59007084129539,0.37144905435269,1
"480","PKHD1L1",6,13,0.791961201969359,1.22840075279827,3.59007084129539,0.37144905435269,1
"481","RYR3",6,13,0.791961201969359,1.22840075279827,3.59007084129539,0.37144905435269,1
"482","OBSCN",8,19,0.823765603951646,1.11776145369622,2.79073372532231,0.408254935240439,1
"483","RYR2",9,21,0.831039495732187,1.14080390725231,2.71864440782218,0.442527803805914,1
"484","ABCB1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"485","AL645922.1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"486","ARID5B",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"487","ATAD2",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"488","BCL11A",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"489","BRINP2",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"490","CDHR2",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"491","CLSTN2",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"492","COL9A1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"493","DDX60L",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"494","DENND4A",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"495","EPG5",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"496","EPHA3",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"497","EVPL",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"498","EYS",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"499","FBN1",4,12,1,0.87266949719614,2.97279008343553,0.200116828248999,1
"500","FILIP1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"501","FMN1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"502","GOLGB1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"503","GPR179",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"504","H1-2",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"505","HIPK3",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"506","HK3",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
"507","IDH1",2,5,1,1.05401225191397,6.57051554506207,0.0987806465649157,1
